       sales,               date,region
1671,4/11/2018,north
1527,4/11/2018,south
1581,4/11/2018,east
1764,4/11/2018,west
1653,4/12/2018,north
1626,4/12/2018,south
1782,4/12/2018,east
1749,4/12/2018,west
1539,4/13/2018,north
1752,4/13/2018,south
1674,4/13/2018,east
1749,4/13/2018,west
1569,4/14/2018,north
1794,4/14/2018,south
1674,4/14/2018,east
1638,4/14/2018,west
1515,4/15/2018,north
1527,4/15/2018,south
1602,4/15/2018,east
1653,4/15/2018,west
1602,4/16/2018,north
1707,4/16/2018,south
1548,4/16/2018,east
1527,4/16/2018,west
1599,4/17/2018,north
1728,4/17/2018,south
1704,4/17/2018,east
1539,4/17/2018,west
1545,4/18/2018,north
1797,4/18/2018,south
1515,4/18/2018,east
1719,4/18/2018,west
1713,4/19/2018,north
1674,4/19/2018,south
1767,4/19/2018,east
1767,4/19/2018,west
1668,4/20/2018,north
1620,4/20/2018,south
1677,4/20/2018,east
1509,4/20/2018,west
1683,4/21/2018,north
1743,4/21/2018,south
1644,4/21/2018,east
1578,4/21/2018,west
1572,4/22/2018,north
1545,4/22/2018,south
1557,4/22/2018,east
1626,4/22/2018,west
1710,4/23/2018,north
1659,4/23/2018,south
1665,4/23/2018,east
1521,4/23/2018,west
1503,4/24/2018,north
1650,4/24/2018,south
1689,4/24/2018,east
1743,4/24/2018,west
1623,4/25/2018,north
1503,4/25/2018,south
1758,4/25/2018,east
1557,4/25/2018,west
1713,4/26/2018,north
1734,4/26/2018,south
1740,4/26/2018,east
1563,4/26/2018,west
1716,4/27/2018,north
1791,4/27/2018,south
1674,4/27/2018,east
1716,4/27/2018,west
1632,4/28/2018,north
1641,4/28/2018,south
1584,4/28/2018,east
1590,4/28/2018,west
1713,4/29/2018,north
1593,4/29/2018,south
1740,4/29/2018,east
1638,4/29/2018,west
1653,4/30/2018,north
1590,4/30/2018,south
1593,4/30/2018,east
1602,4/30/2018,west
1785,5/1/2018,north
1764,5/1/2018,south
1506,5/1/2018,east
1536,5/1/2018,west
1623,5/2/2018,north
1674,5/2/2018,south
1791,5/2/2018,east
1653,5/2/2018,west
1785,5/3/2018,north
1569,5/3/2018,south
1500,5/3/2018,east
1770,5/3/2018,west
1653,5/4/2018,north
1590,5/4/2018,south
1671,5/4/2018,east
1629,5/4/2018,west
1578,5/5/2018,north
1665,5/5/2018,south
1575,5/5/2018,east
1587,5/5/2018,west
1674,5/6/2018,north
1785,5/6/2018,south
1719,5/6/2018,east
1617,5/6/2018,west
1794,5/7/2018,north
1563,5/7/2018,south
1728,5/7/2018,east
1740,5/7/2018,west
1617,5/8/2018,north
1650,5/8/2018,south
1728,5/8/2018,east
1635,5/8/2018,west
1584,5/9/2018,north
1647,5/9/2018,south
1551,5/9/2018,east
1512,5/9/2018,west
1737,5/10/2018,north
1551,5/10/2018,south
1515,5/10/2018,east
1716,5/10/2018,west
1746,5/11/2018,north
1677,5/11/2018,south
1584,5/11/2018,east
1617,5/11/2018,west
1743,5/12/2018,north
1533,5/12/2018,south
1521,5/12/2018,east
1578,5/12/2018,west
1545,5/13/2018,north
1713,5/13/2018,south
1665,5/13/2018,east
1644,5/13/2018,west
1776,5/14/2018,north
1560,5/14/2018,south
1644,5/14/2018,east
1503,5/14/2018,west
1800,5/15/2018,north
1758,5/15/2018,south
1701,5/15/2018,east
1671,5/15/2018,west
1593,5/16/2018,north
1617,5/16/2018,south
1626,5/16/2018,east
1629,5/16/2018,west
1728,5/17/2018,north
1506,5/17/2018,south
1590,5/17/2018,east
1626,5/17/2018,west
1782,5/18/2018,north
1572,5/18/2018,south
1539,5/18/2018,east
1509,5/18/2018,west
1788,5/19/2018,north
1713,5/19/2018,south
1626,5/19/2018,east
1629,5/19/2018,west
1548,5/20/2018,north
1716,5/20/2018,south
1752,5/20/2018,east
1638,5/20/2018,west
1575,5/21/2018,north
1671,5/21/2018,south
1626,5/21/2018,east
1572,5/21/2018,west
1572,5/22/2018,north
1569,5/22/2018,south
1581,5/22/2018,east
1521,5/22/2018,west
1641,5/23/2018,north
1692,5/23/2018,south
1713,5/23/2018,east
1563,5/23/2018,west
1524,5/24/2018,north
1533,5/24/2018,south
1695,5/24/2018,east
1533,5/24/2018,west
1599,5/25/2018,north
1665,5/25/2018,south
1713,5/25/2018,east
1644,5/25/2018,west
1776,5/26/2018,north
1530,5/26/2018,south
1650,5/26/2018,east
1512,5/26/2018,west
1629,5/27/2018,north
1707,5/27/2018,south
1521,5/27/2018,east
1761,5/27/2018,west
1755,5/28/2018,north
1659,5/28/2018,south
1800,5/28/2018,east
1539,5/28/2018,west
1713,5/29/2018,north
1752,5/29/2018,south
1629,5/29/2018,east
1635,5/29/2018,west
1674,5/30/2018,north
1701,5/30/2018,south
1614,5/30/2018,east
1794,5/30/2018,west
1725,5/31/2018,north
1659,5/31/2018,south
1536,5/31/2018,east
1620,5/31/2018,west
1794,6/1/2018,north
1623,6/1/2018,south
1665,6/1/2018,east
1671,6/1/2018,west
1752,6/2/2018,north
1707,6/2/2018,south
1797,6/2/2018,east
1668,6/2/2018,west
1596,6/3/2018,north
1503,6/3/2018,south
1578,6/3/2018,east
1680,6/3/2018,west
1608,6/4/2018,north
1683,6/4/2018,south
1572,6/4/2018,east
1656,6/4/2018,west
1713,6/5/2018,north
1698,6/5/2018,south
1557,6/5/2018,east
1782,6/5/2018,west
1695,6/6/2018,north
1680,6/6/2018,south
1761,6/6/2018,east
1659,6/6/2018,west
1518,6/7/2018,north
1572,6/7/2018,south
1785,6/7/2018,east
1557,6/7/2018,west
1719,6/8/2018,north
1677,6/8/2018,south
1695,6/8/2018,east
1602,6/8/2018,west
1782,6/9/2018,north
1773,6/9/2018,south
1656,6/9/2018,east
1665,6/9/2018,west
1578,6/10/2018,north
1641,6/10/2018,south
1737,6/10/2018,east
1557,6/10/2018,west
1788,6/11/2018,north
1677,6/11/2018,south
1698,6/11/2018,east
1728,6/11/2018,west
1776,6/12/2018,north
1551,6/12/2018,south
1548,6/12/2018,east
1542,6/12/2018,west
1683,6/13/2018,north
1683,6/13/2018,south
1572,6/13/2018,east
1683,6/13/2018,west
1761,6/14/2018,north
1668,6/14/2018,south
1599,6/14/2018,east
1593,6/14/2018,west
1623,6/15/2018,north
1737,6/15/2018,south
1593,6/15/2018,east
1788,6/15/2018,west
1659,6/16/2018,north
1641,6/16/2018,south
1575,6/16/2018,east
1611,6/16/2018,west
1599,6/17/2018,north
1530,6/17/2018,south
1608,6/17/2018,east
1626,6/17/2018,west
1530,6/18/2018,north
1707,6/18/2018,south
1611,6/18/2018,east
1635,6/18/2018,west
1593,6/19/2018,north
1749,6/19/2018,south
1623,6/19/2018,east
1608,6/19/2018,west
1665,6/20/2018,north
1659,6/20/2018,south
1734,6/20/2018,east
1557,6/20/2018,west
1797,6/21/2018,north
1587,6/21/2018,south
1557,6/21/2018,east
1542,6/21/2018,west
1743,6/22/2018,north
1797,6/22/2018,south
1686,6/22/2018,east
1683,6/22/2018,west
1791,6/23/2018,north
1554,6/23/2018,south
1695,6/23/2018,east
1566,6/23/2018,west
1563,6/24/2018,north
1623,6/24/2018,south
1530,6/24/2018,east
1662,6/24/2018,west
1650,6/25/2018,north
1602,6/25/2018,south
1548,6/25/2018,east
1623,6/25/2018,west
1728,6/26/2018,north
1533,6/26/2018,south
1503,6/26/2018,east
1629,6/26/2018,west
1581,6/27/2018,north
1659,6/27/2018,south
1707,6/27/2018,east
1665,6/27/2018,west
1563,6/28/2018,north
1638,6/28/2018,south
1692,6/28/2018,east
1503,6/28/2018,west
1686,6/29/2018,north
1764,6/29/2018,south
1629,6/29/2018,east
1779,6/29/2018,west
1554,6/30/2018,north
1653,6/30/2018,south
1515,6/30/2018,east
1557,6/30/2018,west
1746,7/1/2018,north
1671,7/1/2018,south
1716,7/1/2018,east
1554,7/1/2018,west
1695,7/2/2018,north
1611,7/2/2018,south
1680,7/2/2018,east
1671,7/2/2018,west
1644,7/3/2018,north
1638,7/3/2018,south
1623,7/3/2018,east
1515,7/3/2018,west
1743,7/4/2018,north
1587,7/4/2018,south
1764,7/4/2018,east
1572,7/4/2018,west
1752,7/5/2018,north
1647,7/5/2018,south
1575,7/5/2018,east
1500,7/5/2018,west
1743,7/6/2018,north
1566,7/6/2018,south
1758,7/6/2018,east
1689,7/6/2018,west
1776,7/7/2018,north
1770,7/7/2018,south
1695,7/7/2018,east
1566,7/7/2018,west
1623,7/8/2018,north
1776,7/8/2018,south
1515,7/8/2018,east
1761,7/8/2018,west
1623,7/9/2018,north
1788,7/9/2018,south
1542,7/9/2018,east
1515,7/9/2018,west
1794,7/10/2018,north
1794,7/10/2018,south
1755,7/10/2018,east
1761,7/10/2018,west
1605,7/11/2018,north
1569,7/11/2018,south
1638,7/11/2018,east
1677,7/11/2018,west
1593,7/12/2018,north
1500,7/12/2018,south
1539,7/12/2018,east
1719,7/12/2018,west
1749,7/13/2018,north
1596,7/13/2018,south
1680,7/13/2018,east
1509,7/13/2018,west
1500,7/14/2018,north
1653,7/14/2018,south
1620,7/14/2018,east
1575,7/14/2018,west
1737,7/15/2018,north
1713,7/15/2018,south
1698,7/15/2018,east
1539,7/15/2018,west
1773,7/16/2018,north
1707,7/16/2018,south
1554,7/16/2018,east
1515,7/16/2018,west
1551,7/17/2018,north
1566,7/17/2018,south
1788,7/17/2018,east
1614,7/17/2018,west
1704,7/18/2018,north
1656,7/18/2018,south
1530,7/18/2018,east
1659,7/18/2018,west
1620,7/19/2018,north
1725,7/19/2018,south
1704,7/19/2018,east
1527,7/19/2018,west
1731,7/20/2018,north
1761,7/20/2018,south
1644,7/20/2018,east
1653,7/20/2018,west
1725,7/21/2018,north
1698,7/21/2018,south
1662,7/21/2018,east
1656,7/21/2018,west
1608,7/22/2018,north
1773,7/22/2018,south
1659,7/22/2018,east
1647,7/22/2018,west
1638,7/23/2018,north
1623,7/23/2018,south
1719,7/23/2018,east
1629,7/23/2018,west
1701,7/24/2018,north
1725,7/24/2018,south
1752,7/24/2018,east
1557,7/24/2018,west
1500,7/25/2018,north
1707,7/25/2018,south
1533,7/25/2018,east
1737,7/25/2018,west
1605,7/26/2018,north
1767,7/26/2018,south
1551,7/26/2018,east
1521,7/26/2018,west
1659,7/27/2018,north
1611,7/27/2018,south
1695,7/27/2018,east
1632,7/27/2018,west
1515,7/28/2018,north
1584,7/28/2018,south
1596,7/28/2018,east
1743,7/28/2018,west
1791,7/29/2018,north
1599,7/29/2018,south
1749,7/29/2018,east
1755,7/29/2018,west
1755,7/30/2018,north
1662,7/30/2018,south
1509,7/30/2018,east
1776,7/30/2018,west
1695,7/31/2018,north
1707,7/31/2018,south
1548,7/31/2018,east
1578,7/31/2018,west
1563,8/1/2018,north
1674,8/1/2018,south
1554,8/1/2018,east
1665,8/1/2018,west
1527,8/2/2018,north
1617,8/2/2018,south
1548,8/2/2018,east
1671,8/2/2018,west
1668,8/3/2018,north
1671,8/3/2018,south
1719,8/3/2018,east
1668,8/3/2018,west
1536,8/4/2018,north
1734,8/4/2018,south
1743,8/4/2018,east
1776,8/4/2018,west
1650,8/5/2018,north
1599,8/5/2018,south
1614,8/5/2018,east
1773,8/5/2018,west
1611,8/6/2018,north
1605,8/6/2018,south
1554,8/6/2018,east
1788,8/6/2018,west
1566,8/7/2018,north
1560,8/7/2018,south
1551,8/7/2018,east
1626,8/7/2018,west
1665,8/8/2018,north
1539,8/8/2018,south
1506,8/8/2018,east
1617,8/8/2018,west
1797,8/9/2018,north
1794,8/9/2018,south
1620,8/9/2018,east
1683,8/9/2018,west
1620,8/10/2018,north
1554,8/10/2018,south
1701,8/10/2018,east
1785,8/10/2018,west
1689,8/11/2018,north
1650,8/11/2018,south
1533,8/11/2018,east
1587,8/11/2018,west
1509,8/12/2018,north
1743,8/12/2018,south
1719,8/12/2018,east
1743,8/12/2018,west
1701,8/13/2018,north
1629,8/13/2018,south
1638,8/13/2018,east
1611,8/13/2018,west
1623,8/14/2018,north
1635,8/14/2018,south
1716,8/14/2018,east
1707,8/14/2018,west
1602,8/15/2018,north
1542,8/15/2018,south
1800,8/15/2018,east
1734,8/15/2018,west
1788,8/16/2018,north
1614,8/16/2018,south
1743,8/16/2018,east
1770,8/16/2018,west
1776,8/17/2018,north
1713,8/17/2018,south
1623,8/17/2018,east
1752,8/17/2018,west
1527,8/18/2018,north
1776,8/18/2018,south
1689,8/18/2018,east
1713,8/18/2018,west
1509,8/19/2018,north
1575,8/19/2018,south
1701,8/19/2018,east
1575,8/19/2018,west
1581,8/20/2018,north
1779,8/20/2018,south
1662,8/20/2018,east
1506,8/20/2018,west
1794,8/21/2018,north
1659,8/21/2018,south
1644,8/21/2018,east
1707,8/21/2018,west
1704,8/22/2018,north
1500,8/22/2018,south
1539,8/22/2018,east
1800,8/22/2018,west
1557,8/23/2018,north
1554,8/23/2018,south
1788,8/23/2018,east
1563,8/23/2018,west
1548,8/24/2018,north
1560,8/24/2018,south
1734,8/24/2018,east
1644,8/24/2018,west
1629,8/25/2018,north
1677,8/25/2018,south
1764,8/25/2018,east
1515,8/25/2018,west
1542,8/26/2018,north
1545,8/26/2018,south
1668,8/26/2018,east
1584,8/26/2018,west
1605,8/27/2018,north
1740,8/27/2018,south
1602,8/27/2018,east
1509,8/27/2018,west
1566,8/28/2018,north
1680,8/28/2018,south
1656,8/28/2018,east
1722,8/28/2018,west
1662,8/29/2018,north
1794,8/29/2018,south
1734,8/29/2018,east
1647,8/29/2018,west
1635,8/30/2018,north
1743,8/30/2018,south
1665,8/30/2018,east
1770,8/30/2018,west
1749,8/31/2018,north
1695,8/31/2018,south
1644,8/31/2018,east
1602,8/31/2018,west
1560,9/1/2018,north
1500,9/1/2018,south
1719,9/1/2018,east
1557,9/1/2018,west
1527,9/2/2018,north
1653,9/2/2018,south
1506,9/2/2018,east
1575,9/2/2018,west
1749,9/3/2018,north
1770,9/3/2018,south
1674,9/3/2018,east
1650,9/3/2018,west
1794,9/4/2018,north
1509,9/4/2018,south
1785,9/4/2018,east
1539,9/4/2018,west
1731,9/5/2018,north
1617,9/5/2018,south
1656,9/5/2018,east
1599,9/5/2018,west
1713,9/6/2018,north
1506,9/6/2018,south
1758,9/6/2018,east
1650,9/6/2018,west
1791,9/7/2018,north
1623,9/7/2018,south
1776,9/7/2018,east
1653,9/7/2018,west
1659,9/8/2018,north
1755,9/8/2018,south
1533,9/8/2018,east
1557,9/8/2018,west
1527,9/9/2018,north
1614,9/9/2018,south
1638,9/9/2018,east
1704,9/9/2018,west
1650,9/10/2018,north
1656,9/10/2018,south
1782,9/10/2018,east
1527,9/10/2018,west
1578,9/11/2018,north
1767,9/11/2018,south
1749,9/11/2018,east
1524,9/11/2018,west
1719,9/12/2018,north
1695,9/12/2018,south
1740,9/12/2018,east
1533,9/12/2018,west
1653,9/13/2018,north
1560,9/13/2018,south
1677,9/13/2018,east
1539,9/13/2018,west
1713,9/14/2018,north
1554,9/14/2018,south
1743,9/14/2018,east
1701,9/14/2018,west
1587,9/15/2018,north
1512,9/15/2018,south
1698,9/15/2018,east
1746,9/15/2018,west
1554,9/16/2018,north
1554,9/16/2018,south
1782,9/16/2018,east
1782,9/16/2018,west
1764,9/17/2018,north
1620,9/17/2018,south
1545,9/17/2018,east
1722,9/17/2018,west
1503,9/18/2018,north
1530,9/18/2018,south
1737,9/18/2018,east
1692,9/18/2018,west
1542,9/19/2018,north
1758,9/19/2018,south
1779,9/19/2018,east
1593,9/19/2018,west
1686,9/20/2018,north
1749,9/20/2018,south
1662,9/20/2018,east
1569,9/20/2018,west
1590,9/21/2018,north
1665,9/21/2018,south
1716,9/21/2018,east
1704,9/21/2018,west
1632,9/22/2018,north
1581,9/22/2018,south
1758,9/22/2018,east
1641,9/22/2018,west
1731,9/23/2018,north
1677,9/23/2018,south
1728,9/23/2018,east
1755,9/23/2018,west
1611,9/24/2018,north
1593,9/24/2018,south
1797,9/24/2018,east
1560,9/24/2018,west
1530,9/25/2018,north
1770,9/25/2018,south
1611,9/25/2018,east
1701,9/25/2018,west
1617,9/26/2018,north
1515,9/26/2018,south
1713,9/26/2018,east
1500,9/26/2018,west
1632,9/27/2018,north
1713,9/27/2018,south
1743,9/27/2018,east
1587,9/27/2018,west
1749,9/28/2018,north
1533,9/28/2018,south
1653,9/28/2018,east
1512,9/28/2018,west
1518,9/29/2018,north
1623,9/29/2018,south
1701,9/29/2018,east
1596,9/29/2018,west
1746,9/30/2018,north
1536,9/30/2018,south
1659,9/30/2018,east
1524,9/30/2018,west
1782,10/1/2018,north
1632,10/1/2018,south
1755,10/1/2018,east
1650,10/1/2018,west
1680,10/2/2018,north
1701,10/2/2018,south
1800,10/2/2018,east
1740,10/2/2018,west
1563,10/3/2018,north
1788,10/3/2018,south
1536,10/3/2018,east
1764,10/3/2018,west
1512,10/4/2018,north
1560,10/4/2018,south
1626,10/4/2018,east
1797,10/4/2018,west
1779,10/5/2018,north
1683,10/5/2018,south
1713,10/5/2018,east
1794,10/5/2018,west
1584,10/6/2018,north
1647,10/6/2018,south
1596,10/6/2018,east
1515,10/6/2018,west
1533,10/7/2018,north
1608,10/7/2018,south
1794,10/7/2018,east
1578,10/7/2018,west
1701,10/8/2018,north
1617,10/8/2018,south
1779,10/8/2018,east
1785,10/8/2018,west
1680,10/9/2018,north
1590,10/9/2018,south
1551,10/9/2018,east
1587,10/9/2018,west
1749,10/10/2018,north
1701,10/10/2018,south
1599,10/10/2018,east
1506,10/10/2018,west
1596,10/11/2018,north
1800,10/11/2018,south
1749,10/11/2018,east
1674,10/11/2018,west
1782,10/12/2018,north
1647,10/12/2018,south
1542,10/12/2018,east
1656,10/12/2018,west
1581,10/13/2018,north
1713,10/13/2018,south
1722,10/13/2018,east
1686,10/13/2018,west
1728,10/14/2018,north
1755,10/14/2018,south
1503,10/14/2018,east
1602,10/14/2018,west
1605,10/15/2018,north
1719,10/15/2018,south
1548,10/15/2018,east
1626,10/15/2018,west
1551,10/16/2018,north
1662,10/16/2018,south
1650,10/16/2018,east
1788,10/16/2018,west
1536,10/17/2018,north
1551,10/17/2018,south
1656,10/17/2018,east
1644,10/17/2018,west
1692,10/18/2018,north
1518,10/18/2018,south
1509,10/18/2018,east
1674,10/18/2018,west
1521,10/19/2018,north
1632,10/19/2018,south
1794,10/19/2018,east
1689,10/19/2018,west
1692,10/20/2018,north
1662,10/20/2018,south
1776,10/20/2018,east
1710,10/20/2018,west
1569,10/21/2018,north
1704,10/21/2018,south
1767,10/21/2018,east
1767,10/21/2018,west
1542,10/22/2018,north
1707,10/22/2018,south
1578,10/22/2018,east
1521,10/22/2018,west
1764,10/23/2018,north
1683,10/23/2018,south
1602,10/23/2018,east
1755,10/23/2018,west
1650,10/24/2018,north
1629,10/24/2018,south
1692,10/24/2018,east
1542,10/24/2018,west
1629,10/25/2018,north
1587,10/25/2018,south
1635,10/25/2018,east
1653,10/25/2018,west
1596,10/26/2018,north
1524,10/26/2018,south
1545,10/26/2018,east
1707,10/26/2018,west
1509,10/27/2018,north
1509,10/27/2018,south
1686,10/27/2018,east
1785,10/27/2018,west
1635,10/28/2018,north
1752,10/28/2018,south
1785,10/28/2018,east
1755,10/28/2018,west
1707,10/29/2018,north
1701,10/29/2018,south
1599,10/29/2018,east
1782,10/29/2018,west
1677,10/30/2018,north
1719,10/30/2018,south
1530,10/30/2018,east
1776,10/30/2018,west
1674,10/31/2018,north
1641,10/31/2018,south
1596,10/31/2018,east
1506,10/31/2018,west
1692,11/1/2018,north
1623,11/1/2018,south
1593,11/1/2018,east
1551,11/1/2018,west
1728,11/2/2018,north
1608,11/2/2018,south
1530,11/2/2018,east
1791,11/2/2018,west
1704,11/3/2018,north
1653,11/3/2018,south
1548,11/3/2018,east
1626,11/3/2018,west
1695,11/4/2018,north
1590,11/4/2018,south
1530,11/4/2018,east
1644,11/4/2018,west
1611,11/5/2018,north
1617,11/5/2018,south
1776,11/5/2018,east
1641,11/5/2018,west
1740,11/6/2018,north
1590,11/6/2018,south
1773,11/6/2018,east
1641,11/6/2018,west
1527,11/7/2018,north
1755,11/7/2018,south
1650,11/7/2018,east
1593,11/7/2018,west
1548,11/8/2018,north
1623,11/8/2018,south
1500,11/8/2018,east
1569,11/8/2018,west
1647,11/9/2018,north
1662,11/9/2018,south
1710,11/9/2018,east
1719,11/9/2018,west
1590,11/10/2018,north
1539,11/10/2018,south
1566,11/10/2018,east
1770,11/10/2018,west
1722,11/11/2018,north
1524,11/11/2018,south
1641,11/11/2018,east
1662,11/11/2018,west
1716,11/12/2018,north
1611,11/12/2018,south
1569,11/12/2018,east
1797,11/12/2018,west
1698,11/13/2018,north
1581,11/13/2018,south
1776,11/13/2018,east
1644,11/13/2018,west
1563,11/14/2018,north
1707,11/14/2018,south
1533,11/14/2018,east
1572,11/14/2018,west
1623,11/15/2018,north
1698,11/15/2018,south
1521,11/15/2018,east
1707,11/15/2018,west
1587,11/16/2018,north
1776,11/16/2018,south
1662,11/16/2018,east
1578,11/16/2018,west
1554,11/17/2018,north
1515,11/17/2018,south
1602,11/17/2018,east
1557,11/17/2018,west
1521,11/18/2018,north
1740,11/18/2018,south
1617,11/18/2018,east
1647,11/18/2018,west
1551,11/19/2018,north
1500,11/19/2018,south
1725,11/19/2018,east
1563,11/19/2018,west
1791,11/20/2018,north
1578,11/20/2018,south
1632,11/20/2018,east
1674,11/20/2018,west
1617,11/21/2018,north
1509,11/21/2018,south
1644,11/21/2018,east
1542,11/21/2018,west
1650,11/22/2018,north
1758,11/22/2018,south
1710,11/22/2018,east
1737,11/22/2018,west
1779,11/23/2018,north
1743,11/23/2018,south
1560,11/23/2018,east
1719,11/23/2018,west
1689,11/24/2018,north
